Employer,City / location,Website,Sources,Source count,Sectors,Details / licences
BEGASOFT AG,Bern,https://www.swissmadesoftware.org/en/companies/begasoft-ag/home.html,Swiss Made Software; swissICT,2,ICT / digital; Software,
Behr Bircher Cellpack BBC AG,Villmergen,,swissICT,1,ICT / digital,
Behr Metall AG,Felben-Wellhausen,https://www.behrag.ch/,Swissmechanic,1,Industry / SMEs,"Behr Metall AG, Rosenackerstrasse 4, 8552 Felben-Wellhausen"
BEKA ST-AUBIN SA,St-Aubin-Sauges,http://www.beka.ch/,Swissmechanic,1,Industry / SMEs,"BEKA ST-AUBIN SA, Rue fin-de-praz 5, 2024 St-Aubin-Sauges"
BEKB / BCBE,3001 Bern,http://www.bekb.ch/,Swiss Banking,1,Banking,
Bekon-Koralle AG,Dagmersellen,https://www.koralle.ch,Swissmem,1,Industry / engineering,
Beland GmbH,Bern,,swissICT,1,ICT / digital,
Belbo CH,Schachen,,swissICT,1,ICT / digital,
BELEVO AG,Menznau,https://www.belevo.ch,Swissolar,1,Solar / energy,Lihrenmoos 1
Belfort Capital Group AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
BELIMO Automation AG,Hinwil; Zürich,https://www.belimo.com,swisscleantech; Swissmem; Swissrail,3,Cleantech / energy; Industry / engineering; Rail / transport technology,Maschinen- / Anlagebau
BELIMO Holding AG,Hinwil,https://www.belimo.com,Swissmem,1,Industry / engineering,
Bellavisio AG,Amden,,swissICT,1,ICT / digital,
Bellecapital AG,Zürich,,FINMA,1,Regulated financial services,Manager of collective assets
Bellecapital International AG,Zürich,,FINMA,1,Regulated financial services,Manager of collective assets
BelleVie Suisse AG,3073 Gümligen,https://www.swissstaffing.ch/en/Members/index.php?id=31530,Swiss Staffing,1,Staffing / HR,
Bellevue 7K GmbH,,https://www.swissmadesoftware.org/en/companies/bellevue-7k-gmbh/home.html,Swiss Made Software,1,Software,
Bellevue Asset Management AG,Zürich,,FINMA,1,Regulated financial services,Manager of collective assets
Bellevue Entrepreneur Private KmGK,Zürich,,FINMA,1,Regulated financial services,Limited partnership for collective investment schemes
Bellini Personal AG,3014 Bern; 4053 Basel; 4900 Langenthal; 5200 Brugg; 6003 Luzern; 8004 Zürich City; 8048 Zürich; 8050 Zürich; 8400 Winterthur; 8600 Dübendorf; 8952 Schlieren; 9500 Wil SG,https://www.swissstaffing.ch/en/Members/index.php?id=16788,Swiss Staffing,1,Staffing / HR,
Bellitex SA,Balerna,https://www.bellitex.ch,Swissmem,1,Industry / engineering,
Bellson GmbH,Freidorf,https://www.bellson.ch,Swissolar,1,Solar / energy,Osterwiesenweg 4
Belmont Energie Raum GmbH,Bern,https://www.bm-energieraum.ch/,swisscleantech,1,Cleantech / energy,Beratung / Consulting
Beltrona AG,8472 Seuzach,http://www.beltrona.ch/,Swico,1,ICT / consumer electronics,
Belvalor AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
