rank,employer,proxy_score,selection_bucket,corporate_subtype,public_subtype,city_location,website,sources,source_count,it_relevance_score,scale_institutional_proxy,data_confidence_score,penalty,employer_group_key,selection_reason,caveats,review_status
112,Electrosuisse,81.9,Technology / software / digital,,,Zürich,http://www.electrosuisse.ch,asut; digitalswitzerland; swisscleantech,3,83.4,68,99,0,,"IT/digital directories: asut, digitalswitzerland; High-tech directories: swisscleantech; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
113,Detecon (Schweiz) AG,81.8,Technology / software / digital,,,Canton of Zurich; Zürich,https://ch.detecon.com/de,asut; Swiss Medtech; swissICT,3,97.8,47,94,0,,"IT/digital directories: asut, swissICT; High-tech directories: Swiss Medtech; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
114,Forterro Schweiz Proffix AG,81.7,Technology / software / digital,,,7323 Wangs; Wangs,https://www.proffix.net/,Swico; Swiss Made Software; swissICT,3,100,43,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
115,Tinubu Innoveo Switzerland AG,81.7,Technology / software / digital,,,8048 Zürich; Zürich,https://www.innoveo.com/,Swico; Swiss Made Software; swissICT,3,100,43,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
116,Swiss International Air Lines AG,81.6,Technology / software / digital,,,Basel-Stadt; Kloten,https://www.swiss.com,swisscleantech; swissICT; Swissmem,3,94.3,49,99,0,,"IT/digital directories: swissICT; High-tech directories: Swissmem, swisscleantech; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
117,adesso Schweiz AG,81.5,Technology / software / digital,,,8048 Zürich; Bern; Canton of Zurich,https://www.adesso.ch/,Swico; Swiss Medtech; swissICT,3,98.4,45,94,0,,"IT/digital directories: Swico, swissICT; High-tech directories: Swiss Medtech; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
118,Cudos AG,81.5,Technology / software / digital,,,Fahrweid,https://cudos.ch/de/,Swiss Made Software; swissICT; Swissmem,3,99.1,44,94,0,,"IT/digital directories: Swiss Made Software, swissICT; High-tech directories: Swissmem; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
119,Eraneos Switzerland AG,81.5,Technology / software / digital,,,Zürich,https://www.eraneos.ch,asut; swissICT; Swissrail,3,97.2,47,94,0,,"IT/digital directories: asut, swissICT; High-tech directories: Swissrail; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
120,ERNI Schweiz AG,81.5,Technology / software / digital,,,8001 Zürich; Canton of Zurich; Zürich,https://www.betterask.erni/industries/medical-technology,Swico; Swiss Medtech; swissICT,3,98.4,45,94,0,,"IT/digital directories: Swico, swissICT; High-tech directories: Swiss Medtech; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
121,Sika AG,81.5,Corporate / institutional IT,Pharma / life sciences,,Zugerstrasse 50 6341 Baar; Zürich,https://www.sika.com,scienceindustries; swisscleantech,2,74.6,90,86,0,sika,"High-tech directories: scienceindustries, swisscleantech; Recognisable large-employer signal; Confirmed by 2 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
122,Centris AG,81.4,Technology / software / digital,,,4502 Solothurn; Solothurn,http://www.centrisag.ch,asut; Swico; swissICT,3,100,42,94,0,,"IT/digital directories: Swico, asut, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
123,Edorex AG,81.4,Technology / software / digital,,,3072 Ostermundigen,http://www.edorex.ch,asut; Swico; Swiss Made Software,3,100,42,94,0,,"IT/digital directories: Swico, Swiss Made Software, asut; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
124,Intersys AG,81.4,Technology / software / digital,,,Zuchwil,http://www.intersys.ch,asut; Swiss Made Software; swissICT,3,100,42,94,0,,"IT/digital directories: Swiss Made Software, asut, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
125,Seabix AG,81.4,Technology / software / digital,,,Villmergen,http://www.seabix.com,asut; Swiss Made Software; swissICT,3,100,42,94,0,,"IT/digital directories: Swiss Made Software, asut, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
126,Tata Consultancy Services Switzerland Ltd,81.4,Technology / software / digital,,,Zürich,https://www.tcs.com,Swiss Aerospace Cluster; swissICT; Swissmem,3,95.8,49,94,0,,"IT/digital directories: swissICT; High-tech directories: Swiss Aerospace Cluster, Swissmem; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
127,InfoGuard AG,81.1,Technology / software / digital,,,6340 Baar; Baar,https://www.infoguard.ch,Swico; swissICT; Swissmem,3,98.2,44,94,0,,"IT/digital directories: Swico, swissICT; High-tech directories: Swissmem; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
128,SIX Group AG,81,Corporate / institutional IT,Finance / insurance,,8005 Zürich; 8021 Zurich; Zürich,http://www.six-group.com/,FINMA; Swico; Swiss Banking,3,83.4,65,99,0,,"IT/digital directories: Swico; Institutional signal: FINMA, Swiss Banking; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
129,CyOne Security AG,80.8,Technology / software / digital,,,Steinhausen,https://www.cyone.ch,asut; swissICT; Swissmem,3,97.6,44,94,0,,"IT/digital directories: asut, swissICT; High-tech directories: Swissmem; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
130,Comerge AG,80.5,Technology / software / digital,,,Canton of Zurich; Zürich,https://www.comerge.net/services,Swiss Made Software; Swiss Medtech; swissICT,3,99.4,40,94,0,,"IT/digital directories: Swiss Made Software, swissICT; High-tech directories: Swiss Medtech; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
131,compliag AG,80.5,Technology / software / digital,,,Canton of Zug; Zug,https://compliag.ch/,Swiss Made Software; Swiss Medtech; swissICT,3,99.4,40,94,0,,"IT/digital directories: Swiss Made Software, swissICT; High-tech directories: Swiss Medtech; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
132,dot consulting AG,80.5,Technology / software / digital,,,Canton of Solothurn; Olten,https://www.dotag.ch/,Swiss Made Software; Swiss Medtech; swissICT,3,99.4,40,94,0,,"IT/digital directories: Swiss Made Software, swissICT; High-tech directories: Swiss Medtech; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
133,Abraxas Informatik AG,80.2,Technology / software / digital,,,8058 Zürich; 9001 St. Gallen; Zürich-Flughafen,https://www.abraxas.ch/de,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
134,AKROS AG,80.2,Technology / software / digital,,,2502 Biel/Bienne; Biel/Bienne,https://www.akros.ch/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
135,amétiq ag,80.2,Technology / software / digital,,,8808 Pfäffikon SZ; Pfäffikon SZ,https://ametiq.ch/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
136,BSI Business Systems Integration AG,80.2,Technology / software / digital,,,5405 Baden; Baden,https://www.bsi-software.com/en,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
137,CM Informatik AG,80.2,Technology / software / digital,,,8603 Schwerzenbach; Schwerzenbach,https://www.cmiag.ch/de/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
138,EGELI Informatik AG,80.2,Technology / software / digital,,,9000 St. Gallen; St. Gallen,http://www.egeli-informatik.ch/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
139,emineo AG,80.2,Technology / software / digital,,,8005 Zürich; Baar,https://www.emineo.ch/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
140,GObugfree AG,80.2,Technology / software / digital,,,8003 Zürich; Zürich,https://gobugfree.com/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
141,Helda Solutions GmbH,80.2,Technology / software / digital,,,8302 Kloten; Kloten,https://heldasolutions.com,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
142,Hostpoint AG,80.2,Technology / software / digital,,,8640 Rapperswil SG; Rapperswil SG,https://www.hostpoint.ch/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
143,hosttech GmbH,80.2,Technology / software / digital,,,8805 Richterswil; Richterswil,https://www.hosttech.ch/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
144,Hürlimann Informatik AG,80.2,Technology / software / digital,,,8912 Obfelden; Obfelden,https://www.hi-ag.ch/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
145,InfoSoft Systems AG,80.2,Technology / software / digital,,,6003 Luzern; Luzern,https://infosoft.swiss/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
146,isolutions AG,80.2,Technology / software / digital,,,3008 Bern; Bern,https://www.isolutions.ch/de/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
147,IWF AG,80.2,Technology / software / digital,,,4133 Pratteln; Pratteln,https://www.iwf.ch/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
148,Löwenfels Partner AG,80.2,Technology / software / digital,,,6004 Luzern; Luzern,https://www.loewenfels.ch/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
149,M&S Software Engineering AG,80.2,Technology / software / digital,,,3014 Bern; Bern,https://www.m-s.ch/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
150,Macos Software AG,80.2,Technology / software / digital,,,8604 Volketswil; Volketswil,https://macos.ch/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
151,Megos AG,80.2,Technology / software / digital,,,5200 Brugg AG; Brugg AG,https://www.megos.ch/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
152,Opacc Software AG,80.2,Technology / software / digital,,,6023 Rothenburg; Rothenburg,https://www.opacc.ch/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
153,Panter AG,80.2,Technology / software / digital,,,8005 Zürich; Zürich,https://www.panter.ch/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
154,Swiss Digital Network GmbH,80.2,Technology / software / digital,,,8001 Zürich; Zürich,https://www.swiss-digital-network.ch/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
155,UMB AG,80.2,Technology / software / digital,,,6330 Cham; Volketswil,https://www.umb.ch,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
156,Unic AG,80.2,Technology / software / digital,,,3097 Liebefeld; Bern - Liebefeld,https://www.unic.com/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
157,VSHN AG,80.2,Technology / software / digital,,,8005 Zürich; Zürich,https://vshn.ch/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
158,Webtouch GmbH,80.2,Technology / software / digital,,,8404 Winterthur; Winterthur,https://www.webtouch.ch/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
159,xinfra gmbh,80.2,Technology / software / digital,,,5200 Brugg; Brugg,https://www.xinfra.ch/,Swico; Swiss Made Software; swissICT,3,100,38,94,0,,"IT/digital directories: Swico, Swiss Made Software, swissICT; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
160,Manor AG,80.1,Corporate / institutional IT,General corporate,,,http://www.manor.ch,asut,1,90,77,60,0,manor,IT/digital directories: asut; Recognisable large-employer signal; Website available,Current hiring activity not yet verified,Selected — careers page and hiring verification pending
161,Rolex SA,80.1,Corporate / institutional IT,General corporate,,,http://www.rolex.com,asut,1,90,77,60,0,rolex,IT/digital directories: asut; Recognisable large-employer signal; Website available,Current hiring activity not yet verified,Selected — careers page and hiring verification pending
162,Salt Mobile SA,80.1,Corporate / institutional IT,General corporate,,,https://fiber.salt.ch/de,asut,1,90,77,60,0,salt mobile,IT/digital directories: asut; Recognisable large-employer signal; Website available,Current hiring activity not yet verified,Selected — careers page and hiring verification pending
163,V-ZUG AG,80.1,Technology / software / digital,,,Zug,https://www.vzug.com,swisscleantech; swissICT; Swissmem,3,94.3,44,99,0,,"IT/digital directories: swissICT; High-tech directories: Swissmem, swisscleantech; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
164,Lindt & Sprüngli (Schweiz) AG,80,Corporate / institutional IT,General corporate,,Kilchberg ZH,,swissICT,1,100,78,33,0,lindt,IT/digital directories: swissICT; Recognisable large-employer signal,Current hiring activity not yet verified; Website missing in source data,Selected — careers page and hiring verification pending
165,PwC Switzerland,80,Corporate / institutional IT,General corporate,,Urdorf,,swissICT,1,100,78,33,0,pwc,IT/digital directories: swissICT; Recognisable large-employer signal,Current hiring activity not yet verified; Website missing in source data,Selected — careers page and hiring verification pending
166,TX Group AG,80,Corporate / institutional IT,General corporate,,Zürich,,swissICT,1,100,78,33,0,tx group,IT/digital directories: swissICT; Recognisable large-employer signal,Current hiring activity not yet verified; Website missing in source data,Selected — careers page and hiring verification pending
167,Artificialy SA,79.9,Technology / software / digital,,,Canton of Ticino; Lugano,https://www.artificialy.com/,Swiss Made Software; Swiss Medtech; Swissmem,3,95.8,44,94,0,,"IT/digital directories: Swiss Made Software; High-tech directories: Swiss Medtech, Swissmem; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
168,cyon GmbH,79.7,Technology / software / digital,,,4052 Basel; Basel-Stadt,https://www.cyon.ch/,Swico; Swiss Made Software; swisscleantech,3,97,38,99,0,,"IT/digital directories: Swico, Swiss Made Software; High-tech directories: swisscleantech; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
169,Epsitec SA,79.7,Technology / software / digital,,,1400 Yverdon-les-Bains; Waadt,https://www.epsitec.ch/,Swico; Swiss Made Software; swisscleantech,3,97,38,99,0,,"IT/digital directories: Swico, Swiss Made Software; High-tech directories: swisscleantech; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
170,Komax AG,79.7,Technology / software / digital,,,Dierikon,https://www.komaxgroup.com,swissICT; Swissmechanic; Swissmem,3,93.4,44,99,0,,"IT/digital directories: swissICT; High-tech directories: Swissmechanic, Swissmem; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
171,Zeix AG,79.7,Technology / software / digital,,,8004 Zürich; Zürich,https://zeix.com/,Swico; swisscleantech; swissICT,3,97,38,99,0,,"IT/digital directories: Swico, swissICT; High-tech directories: swisscleantech; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
172,Abacus Research AG,79.2,Technology / software / digital,,,9300 Wittenbach; Wittenbach,https://www.abacus.ch,Swico; Swiss Made Software; Swissmechanic,3,96,38,99,0,,"IT/digital directories: Swico, Swiss Made Software; High-tech directories: Swissmechanic; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
173,BearingPoint AG,79.1,Technology / software / digital,,,Canton of Zurich; Zürich,https://www.bearingpoint.com/en-ch,Swiss Medtech; swisscleantech; swissICT,3,94.6,40,99,0,,"IT/digital directories: swissICT; High-tech directories: Swiss Medtech, swisscleantech; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
174,Bank Julius Baer & Co. Ltd.,78.5,Corporate / institutional IT,General corporate,,Zürich,,swissICT,1,100,73,33,0,julius baer,IT/digital directories: swissICT; Recognisable large-employer signal,Current hiring activity not yet verified; Website missing in source data,Selected — careers page and hiring verification pending
175,BKW Management AG,78.5,Corporate / institutional IT,General corporate,,Bern,,swissICT,1,100,73,33,0,bkw,IT/digital directories: swissICT; Recognisable large-employer signal,Current hiring activity not yet verified; Website missing in source data,Selected — careers page and hiring verification pending
176,Credit Suisse AG,78.5,Corporate / institutional IT,General corporate,,Zürich,,swissICT,1,100,73,33,0,credit suisse,IT/digital directories: swissICT; Recognisable large-employer signal,Current hiring activity not yet verified; Website missing in source data,Selected — careers page and hiring verification pending
177,Hirslanden AG,78.5,Corporate / institutional IT,General corporate,,Glattpark,,swissICT,1,100,73,33,0,hirslanden,IT/digital directories: swissICT; Recognisable large-employer signal,Current hiring activity not yet verified; Website missing in source data,Selected — careers page and hiring verification pending
178,Pilatus Aircraft Ltd.,78.5,Corporate / institutional IT,General corporate,,Stans,,swissICT,1,100,73,33,0,pilatus,IT/digital directories: swissICT; Recognisable large-employer signal,Current hiring activity not yet verified; Website missing in source data,Selected — careers page and hiring verification pending
179,Schweizerische Nationalbank,78.5,Corporate / institutional IT,General corporate,,Bern,,swissICT,1,100,73,33,0,schweizerische nationalbank,IT/digital directories: swissICT; Recognisable large-employer signal,Current hiring activity not yet verified; Website missing in source data,Selected — careers page and hiring verification pending
180,Mitel Schweiz AG,78.3,Technology / software / digital,,,4500 Solothurn; Solothurn,http://ch.mitel.com,asut; Swico; Swissmem,3,89.6,49,94,0,,"IT/digital directories: Swico, asut; High-tech directories: Swissmem; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
181,Amag,78,Corporate / institutional IT,General corporate,,,,digitalswitzerland,1,90,100,15,0,amag,IT/digital directories: digitalswitzerland; Recognisable large-employer signal,Current hiring activity not yet verified; Website missing in source data,Selected — careers page and hiring verification pending
182,Amgen,78,Corporate / institutional IT,Pharma / life sciences,,,,Interpharma,1,80,100,40,0,amgen,Institutional signal: Interpharma; Recognisable large-employer signal,Current hiring activity not yet verified; Website missing in source data,Selected — careers page and hiring verification pending
183,Bayer,78,Corporate / institutional IT,Pharma / life sciences,,,,Interpharma,1,80,100,40,0,bayer,Institutional signal: Interpharma; Recognisable large-employer signal,Current hiring activity not yet verified; Website missing in source data,Selected — careers page and hiring verification pending
184,Biogen,78,Corporate / institutional IT,Pharma / life sciences,,,,Interpharma,1,80,100,40,0,biogen,Institutional signal: Interpharma; Recognisable large-employer signal,Current hiring activity not yet verified; Website missing in source data,Selected — careers page and hiring verification pending
185,Boehringer Ingelheim,78,Corporate / institutional IT,Pharma / life sciences,,,,Interpharma,1,80,100,40,0,boehringer,Institutional signal: Interpharma; Recognisable large-employer signal,Current hiring activity not yet verified; Website missing in source data,Selected — careers page and hiring verification pending
186,Bristol-Myers Squibb (BMS),78,Corporate / institutional IT,Pharma / life sciences,,,,Interpharma,1,80,100,40,0,bristol-myers,Institutional signal: Interpharma; Recognisable large-employer signal,Current hiring activity not yet verified; Website missing in source data,Selected — careers page and hiring verification pending
187,Bug Bounty Switzerland,78,Technology / software / digital,,,6003 Luzern,https://www.bugbounty.ch/,digitalswitzerland; Swico,2,80.8,68,86,0,,"IT/digital directories: Swico, digitalswitzerland; Confirmed by 2 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
188,Die Post,78,Corporate / institutional IT,General corporate,,,,digitalswitzerland,1,90,100,15,0,die post,IT/digital directories: digitalswitzerland; Recognisable large-employer signal,Current hiring activity not yet verified; Website missing in source data,Selected — careers page and hiring verification pending
189,Gilead,78,Corporate / institutional IT,Pharma / life sciences,,,,Interpharma,1,80,100,40,0,gilead,Institutional signal: Interpharma; Recognisable large-employer signal,Current hiring activity not yet verified; Website missing in source data,Selected — careers page and hiring verification pending
190,GlaxoSmithKline (GSK),78,Corporate / institutional IT,Pharma / life sciences,,,,Interpharma,1,80,100,40,0,glaxosmithkline,Institutional signal: Interpharma; Recognisable large-employer signal,Current hiring activity not yet verified; Website missing in source data,Selected — careers page and hiring verification pending
191,PricewaterhouseCoopers AG,78,Corporate / institutional IT,Finance / insurance,,8050 Zurich; Zürich,http://www.pwc.ch/,asut; Swiss Banking; swisscleantech,3,80.4,60,99,0,,IT/digital directories: asut; Institutional signal: Swiss Banking; High-tech directories: swisscleantech; Confirmed by 3 independent directories; Website available,Current hiring activity not yet verified,Selected — careers page and hiring verification pending
192,Sanofi,78,Corporate / institutional IT,Pharma / life sciences,,,,Interpharma,1,80,100,40,0,sanofi,Institutional signal: Interpharma; Recognisable large-employer signal,Current hiring activity not yet verified; Website missing in source data,Selected — careers page and hiring verification pending
193,Takeda,78,Corporate / institutional IT,Pharma / life sciences,,,,Interpharma,1,80,100,40,0,takeda,Institutional signal: Interpharma; Recognisable large-employer signal,Current hiring activity not yet verified; Website missing in source data,Selected — careers page and hiring verification pending
194,The Janssen Pharmaceutical Companies of Johnson & Johnson,78,Corporate / institutional IT,Pharma / life sciences,,,,Interpharma,1,80,100,40,0,johnson & johnson,Institutional signal: Interpharma; Recognisable large-employer signal,Current hiring activity not yet verified; Website missing in source data,Selected — careers page and hiring verification pending
195,Zürich Versicherung,78,Corporate / institutional IT,General corporate,,,,digitalswitzerland,1,90,100,15,0,zurich versicherung,IT/digital directories: digitalswitzerland; Recognisable large-employer signal,Current hiring activity not yet verified; Website missing in source data,Selected — careers page and hiring verification pending
196,Schneider Electric (Schweiz) AG,77.6,Technology / software / digital,,,3073 Gümligen; Bern; Gümligen,https://www.schneider-electric.com,Swico; swisscleantech; Swissmem,3,86.3,49,99,0,,"IT/digital directories: Swico; High-tech directories: Swissmem, swisscleantech; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
197,Bosch Rexroth Schweiz AG,77.3,Corporate / institutional IT,General corporate,,Buttikon SZ,https://www.boschrexroth.ch,Swissmem,1,73,84,78,0,bosch,High-tech directories: Swissmem; Recognisable large-employer signal; Website available,Current hiring activity not yet verified,Selected — careers page and hiring verification pending
198,Paul Scherrer Institut PSI,77,Corporate / institutional IT,Public / education / healthcare,Public / healthcare / infrastructure,Villigen PSI,http://www.psi.ch/,Swissmechanic,1,65,93,83,0,paul scherrer,High-tech directories: Swissmechanic; Recognisable large-employer signal; Public/institutional IT-employer signal; Website available,Current hiring activity not yet verified,Selected — careers page and hiring verification pending
199,Sherpany AG,76.9,Technology / software / digital,,,,https://www.swissmadesoftware.org/en/companies/sherpany-ag/home.html,digitalswitzerland; Swiss Made Software,2,88.8,63,68,0,,"IT/digital directories: Swiss Made Software, digitalswitzerland; Confirmed by 2 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
200,Zürich Versicherungs-Gesellschaft AG,76.8,Technology / software / digital,,,Zürich,https://www.zurich.ch/,FINMA; swisscleantech; swissICT,3,91.2,38,99,0,,IT/digital directories: swissICT; Institutional signal: FINMA; High-tech directories: swisscleantech; Confirmed by 3 independent directories; Website available,Current hiring activity not yet verified,Selected — careers page and hiring verification pending
201,ESPRIT Netzwerk AG,76.6,Corporate / institutional IT,Finance / insurance,,4500 Solothurn; Solothurn,http://www.esprit-netzwerk.ch/,Swiss Banking; swissICT,2,85.8,55,86,0,,IT/digital directories: swissICT; Institutional signal: Swiss Banking; Confirmed by 2 independent directories; Website available,Current hiring activity not yet verified,Selected — careers page and hiring verification pending
202,Liechtensteinische Landesbank,76.6,Corporate / institutional IT,Finance / insurance,,9490 Vaduz; Vaduz,http://www.llb.li/,Swiss Banking; swissICT,2,85.8,55,86,0,,IT/digital directories: swissICT; Institutional signal: Swiss Banking; Confirmed by 2 independent directories; Website available,Current hiring activity not yet verified,Selected — careers page and hiring verification pending
203,Eviden AG,76,Technology / software / digital,,,8047 Zürich,https://www.swissbiotech.org/listing/eviden-ag/,asut; Swico; Swiss Biotech Association,3,89.2,42,94,0,,"IT/digital directories: Swico, asut; High-tech directories: Swiss Biotech Association; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
